STOP_NAME,STOP_ID,STOP_LAT,STOP_LON
S Flughafen Berlin-Schoenefeld Bhf,900000260005,52.390792000000,13.513522000000
Schoenefeld (bei Berlin), Gartenstr.,900000260508,52.392999000000,13.525041000000
Schoenefeld (bei Berlin), Waltersdorfer Chaussee,900000260510,52.396875000000,13.517888000000
Schoenefeld (bei Berlin), Wehrmathen,900000260516,52.399190000000,13.520259000000
Schoenefeld (bei Berlin), Dorf,900000260935,52.387267000000,13.505263000000
Schoenefeld (bei Berlin), Oberschule,900000260937,52.395613000000,13.530009000000
Schoeneiche (bei Berlin), Luebecker Str.,900000310014,52.465839000000,13.698670000000
Schoeneiche (bei Berlin), Dorfaue,900000310021,52.479121000000,13.700728000000
Schoeneiche (bei Berlin), W.-Dehmel-Str.,900000310501,52.470823000000,13.697714000000
Schoeneiche (bei Berlin), C.-Zetkin-Str.,900000310502,52.461904000000,13.699210000000
Schoeneiche (bei Berlin), Hamburger Str.,900000310503,52.459614000000,13.703477000000
Schoeneiche (bei Berlin), Waldstr.,900000310510,52.467602000000,13.681623000000
Schoeneiche (bei Berlin), Goethepark,900000310511,52.470813000000,13.688383000000
Schoeneiche (bei Berlin), Rahnsdorfer Str.,900000310512,52.474650000000,13.692239000000
Schoeneiche (bei Berlin), Dorfstr.,900000310513,52.478984000000,13.695202000000
Schoeneiche (bei Berlin), Seestr.,900000310514,52.455636000000,13.701926000000
Schoeneiche (bei Berlin), Graetzwalde,900000310515,52.474389000000,13.712835000000
Schoeneiche (bei Berlin), Jaegerstr.,900000310516,52.472743000000,13.730815000000
Schoeneiche (bei Berlin), Kalkberger Str.,900000310517,52.472355000000,13.737659000000
Schoeneiche (bei Berlin), Schillerstr.,900000310525,52.477494000000,13.708805000000
Schoeneiche (bei Berlin), Kieferndamm,900000311012,52.463154000000,13.714076000000
Schoeneiche (bei Berlin), Steinstr.,900000311014,52.464231000000,13.724683000000
Schoenerlinde (BAR), Bahnhof,900000350164,52.652166000000,13.428669000000
Schoenerlinde (BAR), Kirche,900000350664,52.653654000000,13.443806000000
Schoenerlinde (BAR), Dorfstr.,900000350666,52.653673000000,13.435634000000
Schoenerlinde (BAR), Schoenerlinder Chaussee,900000350667,52.665126000000,13.441257000000
Schoenerlinde (BAR), Stadtgut,900000350668,52.657548000000,13.425815000000
Schwedt, Berliner Str.,900000341113,53.059439000000,14.294373000000
Schoenerlinde (LDS), Abzweig,900000261860,51.952536000000,13.514757000000
S+U Friedrichstr. Bhf (Berlin),000008011306,52.520270000000,13.387153000000
