STOP_NAME;STOP_LAT;STOP_LON;COORDINATE
U Cottbusser Platz (Berlin);52.533963000000;13.596894000000;010100000014234BE658444A40755B22179C312B40
U Dahlem-Dorf (Berlin);52.457695000000;13.290011000000;01010000007845F0BF953A4A40E4F560527C942A40
U Deutsche Oper (Berlin);52.511827000000;13.309420000000;0101000000DA1A118C83414A40E674594C6C9E2A40
U Eberswalder Str. (Berlin);52.541022000000;13.412154000000;010100000050357A3540454A40C7D45DD905D32A40
U Eberswalder Str./Pappelallee (Berlin);52.541498000000;13.412833000000;0101000000B96C74CE4F454A404C6BD3D85ED32A40
U Eisenacher Str. (Berlin);52.489477000000;13.350284000000;01010000007592AD2EA73E4A40C79FA86C58B32A40
U Elsterwerdaer Platz (Berlin);52.504643000000;13.560762000000;0101000000E2934E2498404A40DAAD65321C1F2B40
U Ernst-Reuter-Platz (Berlin);52.511582000000;13.322581000000;0101000000739CDB847B414A40389F3A5629A52A40
U Fehrbelliner Platz (Berlin);52.490201000000;13.314519000000;0101000000B6BB07E8BE3E4A40F6F065A208A12A40
U Frankfurter Tor (Berlin);52.515772000000;13.454085000000;0101000000A41820D104424A40543541D47DE82A40
U Franz-Neumann-Platz (Berlin);52.563854000000;13.364283000000;010100000001DC2C5E2C484A4040FA264D83BA2A40
U Franzoesische Str. (Berlin);52.514770000000;13.389208000000;0101000000207BBDFBE3414A40E2AE5E4546C72A40
U Freie Universitaet (Thielplatz) (Berlin);52.451000000000;13.281651000000;01010000007D3F355EBA394A407AC5538F34902A40
U Friedrich-Wilhelm-Platz (Berlin);52.471439000000;13.328676000000;01010000008B87F71C583C4A40CFF57D3848A82A40
U Friedrichsfelde (Berlin);52.505464000000;13.513544000000;010100000016A75A0BB3404A40321D3A3DEF062B40
U Gleisdreieck (Berlin);52.499587000000;13.374293000000;0101000000DD408177F23F4A40533E0455A3BF2A40
U Gneisenaustr. (Berlin);52.491252000000;13.395382000000;01010000001C0C7558E13E4A40A9DA6E826FCA2A40
U Grenzallee (Berlin);52.463516000000;13.444828000000;01010000001C96067E543B4A40AFB0E07EC0E32A40
U Goerlitzer Bahnhof (Berlin);52.499035000000;13.428468000000;01010000009947FE60E03F4A40DBC35E2860DB2A40
U Guentzelstr. (Berlin);52.491992000000;13.331210000000;010100000063F20698F93E4A4061376C5B94A92A40
U Halemweg (Berlin);52.536703000000;13.286578000000;0101000000225514AFB2444A409581035ABA922A40
U Hallesches Tor (Berlin);52.497774000000;13.391760000000;01010000004966F50EB73F4A400DC347C494C82A40
U Hansaplatz (Berlin);52.518111000000;13.342165000000;01010000005359147651424A40F3AB394030AF2A40
U Haselhorst (Berlin);52.538718000000;13.232309000000;01010000001EE21FB6F4444A4008228B34F1762A40
U Hausvogteiplatz (Berlin);52.513361000000;13.395346000000;01010000005C0531D0B5414A40763579CA6ACA2A40
U Heinrich-Heine-Str. (Berlin);52.510858000000;13.416169000000;0101000000327381CB63414A40D237691A14D52A40
U Hellersdorf (Berlin);52.535946000000;13.605794000000;01010000000536E7E099444A40DE3994A12A362B40
U Hermannplatz (Berlin);52.486957000000;13.424720000000;010100000075C7629B543E4A400CEA5BE674D92A40
